annonce_id,date_publication,titre,ville,quartier,type_bien,transaction,prix,surface,nb_chambres,nb_salles_bain,etage,annee_construction,prix_m2,age_bien,categorie_prix,categorie_surface,annee_publication,mois_publication,trimestre_publication
ANO000708,2023-01-01,Villa moderne Agadir,Agadir,Talborjt,Villa,Vente,2592302,248.46,6,4,0,2007,10433,19,Haut Standing,Grand,2023,1,1
ANO001039,2023-01-01,Appartement à vente - Kenitra,Kenitra,Hay Essalam,Appartement,Vente,2155591,91.29,2,1,2,2008,23613,18,Haut Standing,Moyen,2023,1,1
ANO000870,2023-01-02,Bureau à vente - Tétouan,Tetouan,M'diq,Bureau,Vente,317774,155.88,0,0,1,2020,2039,6,Moyen,Grand,2023,1,1
ANO000036,2023-01-03,Appartement 132m² Meknès,Meknes,Hamria,Appartement,Vente,598486,132.15,1,1,2,2011,4529,15,Moyen,Moyen,2023,1,1
ANO001275,2023-01-03,Beau Villa Meknès,Meknes,Hamria,Villa,Vente,2177553,264.6,4,2,0,2004,8230,22,Haut Standing,Grand,2023,1,1
ANO000171,2023-01-05,Villa moderne Oujda,Oujda,Centre,Villa,Vente,6405685,245.98,4,2,0,2008,26041,18,Luxe,Grand,2023,1,1
ANO001170,2023-01-05,Villa 290m² Marrakech,Marrakech,Medina,Villa,Vente,2169498,290.02,4,3,0,2005,7481,21,Haut Standing,Grand,2023,1,1
ANO000802,2023-01-07,Beau Villa Casablanca,Casablanca,Hay Mohammadi,Villa,Vente,5592517,383.88,5,2,0,2020,14568,6,Luxe,Grand,2023,1,1
ANO000385,2023-01-07,Villa 144m² Ville Nouvelle,Fes,Ville Nouvelle,Villa,Vente,1880519,144.15,4,2,0,2024,13046,2,Haut Standing,Moyen,2023,1,1
ANO000015,2023-01-09,Appartement 77m² Kenitra,Kenitra,Centre,Appartement,Location,2144,77.47,2,1,2,1998,28,28,Economique,Petit,2023,1,1
ANO000383,2023-01-09,Beau Appartement Kenitra,Kenitra,Centre,Appartement,Vente,1561490,49.0,2,1,4,2022,31867,4,Haut Standing,Petit,2023,1,1
ANO000046,2023-01-10,Beau Villa Oujda,Oujda,Hay Qods,Villa,Vente,8324902,187.34,6,4,0,2007,44437,19,Luxe,Grand,2023,1,1
ANO000497,2023-01-10,Villa 351m² M'diq,Tetouan,M'diq,Villa,Vente,1437172,351.01,4,2,0,2005,4094,21,Haut Standing,Grand,2023,1,1
ANO000125,2023-01-10,Villa 326m² Oujda,Oujda,Hay Qods,Villa,Vente,8176715,326.74,4,2,0,2024,25025,2,Luxe,Grand,2023,1,1
ANO001262,2023-01-10,Terrain à location - Meknès,Meknes,Hamria,Terrain,Location,1793,355.72,0,0,0,2005,5,21,Economique,Grand,2023,1,1
ANO001491,2023-01-10,Appartement moderne Casablanca,Casablanca,Ain Diab,Appartement,Vente,588782,117.1,2,2,1,2019,5028,7,Moyen,Moyen,2023,1,1
ANO001029,2023-01-11,Villa moderne Oujda,Oujda,Hay Qods,Villa,Vente,5721231,274.8,6,4,0,2009,20820,17,Luxe,Grand,2023,1,1
ANO000556,2023-01-11,Appartement moderne Tanger,Tanger,Centre Ville,Appartement,Vente,547256,60.02,4,1,3,2010,9118,16,Moyen,Petit,2023,1,1
ANO000570,2023-01-12,Appartement moderne Oujda,Oujda,Hay Qods,Appartement,Location,3112,81.68,3,2,2,2002,38,24,Economique,Moyen,2023,1,1
ANO001051,2023-01-12,Appartement à location - Casablanca,Casablanca,Bourgogne,Appartement,Location,2604,75.77,2,2,5,2004,34,22,Economique,Petit,2023,1,1
ANO001487,2023-01-12,Villa 302m² Malabata,Tanger,Malabata,Villa,Location,14691,302.96,5,2,0,2019,48,7,Economique,Grand,2023,1,1
ANO000668,2023-01-12,Appartement 65m² Hay Mohammadi,Agadir,Hay Mohammadi,Appartement,Vente,532658,65.19,3,2,3,2007,8171,19,Moyen,Petit,2023,1,1
ANO001016,2023-01-14,Terrain moderne Tanger,Tanger,Iberia,Terrain,Vente,185018,439.09,0,0,0,2007,421,19,Economique,Grand,2023,1,1
ANO001221,2023-01-14,Beau Villa Rabat,Rabat,Agdal,Villa,Vente,2019980,191.75,4,2,0,2005,10534,21,Haut Standing,Grand,2023,1,1
ANO000974,2023-01-15,Bureau moderne Fès,Fes,Zouagha,Bureau,Vente,1718349,91.25,0,0,3,2011,18831,15,Haut Standing,Moyen,2023,1,1
ANO000288,2023-01-15,Terrain à vente - Marrakech,Marrakech,Medina,Terrain,Vente,345277,485.7,0,0,0,2024,711,2,Moyen,Grand,2023,1,1
